posted_on,bhk,rent,size,floor,area_type,area_locality,city,furnishing_status,tenant_preferred,bathroom,point_of_contact
2022-04-27,3,30000,1875,3 out of 3,Super Area,"Jp Nagar Phase 1, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-27,3,61000,1550,5 out of 20,Carpet Area,"Lovedale Residences, Malad West",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-04-27,1,20000,700,1 out of 5,Super Area,Rohini Sector 5,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-27,1,12000,600,1 out of 2,Super Area,Wilson Garden,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-27,1,6000,130,Ground out of 2,Carpet Area,Bow Bazar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-27,1,12000,500,2 out of 5,Carpet Area,"Electronics City Phase 1, Electronic City",Bangalore,Semi-Furnished,Bachelors,1,Contact Owner
2022-04-27,2,9000,600,Ground out of 2,Super Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-27,2,27000,900,Ground out of 4,Super Area,Mahatama Gandhi Road,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-04-27,2,18000,882,10 out of 22,Super Area,"DB Ozone, Mira Road",Mumbai,Unfurnished,Bachelors,2,Contact Owner
2022-04-27,1,15000,270,15 out of 15,Carpet Area,chakala andheri east,Mumbai,Unfurnished,Bachelors,2,Contact Owner
2022-04-27,2,15000,850,3 out of 3,Carpet Area,Rohini Sector 23,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-28,2,20000,900,3 out of 3,Carpet Area,Amarpali Apartment,Delhi,Semi-Furnished,Bachelors,2,Contact Owner
2022-04-28,1,15000,700,2 out of 4,Super Area,Varthur,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-28,1,5500,200,2 out of 4,Super Area,Pusa Institutional Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-28,1,7000,400,2 out of 7,Carpet Area,Gunjur,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner
2022-04-28,1,6500,300,2 out of 3,Super Area,Hebbal,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-28,2,30000,900,2 out of 4,Super Area,Sheikh Sarai Phase 1,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-28,2,20000,1150,2 out of 4,Carpet Area,"Jp Nagar Phase 5, J P Nagar, Outer Ring Road",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-28,1,30000,570,Ground out of 3,Carpet Area,Kurla West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-28,2,12000,800,1 out of 2,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-28,1,6000,600,3 out of 3,Super Area,Hongasandra,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-28,3,20000,1200,Ground out of 1,Carpet Area,"Ms Palya, Vidyaranyapura",Bangalore,Semi-Furnished,Bachelors,2,Contact Owner
2022-04-28,1,14000,750,3 out of 4,Carpet Area,"Jp Nagar Phase 5, J P Nagar, Outer Ring Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-28,2,18000,1000,Ground out of 2,Carpet Area,"Uppal, NH 2 2",Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner
2022-04-28,1,12000,700,Ground out of 2,Super Area,Indra Nagar,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-28,1,6000,500,8 out of 10,Super Area,Naigaon East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-28,2,10000,700,1 out of 2,Carpet Area,"Sarat Ghosh Garden, Dhakuria",Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-04-28,1,20000,265,6 out of 7,Super Area,Mazgaon,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-28,1,3300,175,Ground out of 2,Super Area,New Town,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-28,1,36000,540,2 out of 3,Super Area,in Mahim West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-28,2,12000,1100,3 out of 3,Super Area,Nizampet,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-28,1,25000,641,3 out of 8,Super Area,Borivali West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-28,2,8000,600,2 out of 3,Super Area,"Electronic City Phase 2, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-28,3,25000,1260,Ground out of 2,Super Area,Vijaya Bank Layout,Bangalore,Furnished,Bachelors/Family,3,Contact Owner
2022-04-28,3,15000,1600,1 out of 3,Super Area,Garia,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-28,2,20000,1000,1 out of 2,Super Area,Anandapur,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
2022-04-28,2,15000,1200,1 out of 3,Super Area,"Jp Nagar Phase 1, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-28,1,34000,560,3 out of 7,Super Area,Serenity Complex,Mumbai,Semi-Furnished,Bachelors,2,Contact Owner
2022-04-29,1,20000,450,1 out of 3,Super Area,DS 19,Delhi,Unfurnished,Family,1,Contact Owner
2022-04-29,2,7000,500,1 out of 2,Super Area,Mahipalpur,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,3,13000,100,3 out of 4,Super Area,"Viswas Park, Matiala",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,13000,95,1 out of 4,Super Area,Shahdara,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,3,26000,1450,4 out of 7,Super Area,"Lingampally-Serilingampally, NH 2 2",Hyderabad,Semi-Furnished,Family,2,Contact Owner
2022-04-29,1,18000,450,2 out of 4,Super Area,"Nem Vihar, Mulund West",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,1,4500,400,1 out of 2,Super Area,Sagar Pur,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,2,9000,60,1 out of 3,Super Area,Mehrauli,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,2,24000,600,1 out of 5,Super Area,Mulund West,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,3,22000,1000,1 out of 24,Super Area,"Khanpur Extension, Sangam Vihar",Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-29,3,15000,900,3 out of 4,Super Area,Dwarka Mor,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,15000,50,2 out of 4,Carpet Area,Dwarka Sector 14,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,15000,80,3 out of 4,Carpet Area,Anand Parbat,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,3,15000,950,Ground out of 3,Super Area,Rohini Sector 4,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,40000,650,Ground out of 4,Super Area,Andheri West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,8000,130,Ground out of 3,Super Area,Raj Nagar 2,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,3,12500,650,3 out of 4,Super Area,Chirag Delhi,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,2,14000,100,3 out of 4,Super Area,Janakpuri,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,2,6000,45,2 out of 3,Super Area,"Devli, Sangam Vihar",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,2,10000,600,2 out of 3,Super Area,Trilokpuri,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,40000,1100,2 out of 4,Super Area,"Kailash Colony, Greater Kailash",Delhi,Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,1,5000,450,Ground out of 3,Super Area,Vikash Nagar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,1,11000,500,Ground out of 4,Super Area,Rohini Sector 17,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,3,350000,3200,1 out of 2,Super Area,Sundar Nagar,Delhi,Semi-Furnished,Bachelors/Family,4,Contact Owner
2022-04-29,4,15000,120,Ground out of 2,Super Area,Rohini Sector 38,Delhi,Furnished,Bachelors/Family,4,Contact Owner
2022-04-29,1,5500,30,2 out of 3,Carpet Area,B-7 veer Singh colony Budh vihar phase 2 delhi,Delhi,Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,2,23000,900,3 out of 4,Super Area,"Lajpat Nagar II, null",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,4,10000,1110,2 out of 2,Carpet Area,Purbasa,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,9000,900,Ground out of 1,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,7500,675,Ground out of 2,Super Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,2,12000,900,1 out of 2,Carpet Area,Adambakkam,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,7500,850,Ground out of 2,Super Area,Anakaputhur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,13000,800,Ground out of 1,Carpet Area,Porur,Chennai,Semi-Furnished,Bachelors,1,Contact Owner
2022-04-29,1,7500,600,Ground out of 2,Carpet Area,Garfa,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,1,6500,550,2 out of 2,Super Area,Jawahar Nagar,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,2,9000,705,1 out of 3,Carpet Area,"Urapakkam, Vandalur R.F, GST Road",Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,3,22000,1100,Ground out of 2,Super Area,Salt Lake City Sector 2,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,3,15000,800,Ground out of 4,Carpet Area,Jyangra,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,3,15000,1200,Ground out of 2,Carpet Area,"Pathak Para, Behala",Kolkata,Unfurnished,Bachelors,2,Contact Owner
2022-04-29,3,22000,2000,Upper Basement out of 3,Carpet Area,A 307 Blossom Heights,Hyderabad,Furnished,Bachelors,3,Contact Owner
2022-04-29,1,10000,42,Ground out of 3,Super Area,Dwarka Sector 23,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,2,13000,900,Ground out of 3,Super Area,Chhattarpur,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,10000,50,1 out of 2,Super Area,Dwarka Sector 8,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,2,25000,900,2 out of 3,Super Area,Pitampura,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,1,4000,120,1 out of 2,Super Area,Najafgarh,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,3,8000,106,Ground out of 4,Super Area,Burari,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,1,9000,500,1 out of 3,Super Area,Chhattarpur,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,1,6000,400,2 out of 4,Super Area,Mehrauli,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,1,5000,450,1 out of 4,Super Area,Bhajanpura,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,2,20000,1000,3 out of 4,Super Area,"DDA Devdoot Apartment, Vikaspuri",Delhi,Semi-Furnished,Family,1,Contact Owner
2022-04-29,1,10000,450,2 out of 4,Super Area,"Khirki extension, Malviya Nagar",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,4,18000,900,3 out of 5,Super Area,Subhash Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,13000,70,2 out of 4,Super Area,"IGNOU Road, Saket",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,3,25000,1000,1 out of 4,Super Area,"Everest Apartment, Kalkaji",Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,10000,450,4 out of 5,Super Area,Palam,Delhi,Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,2,10000,470,2 out of 4,Super Area,Pul Prahlad Pur,Delhi,Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,14000,800,3 out of 5,Super Area,Mehrauli,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-29,3,18000,120,4 out of 5,Super Area,Bhalswa,Delhi,Furnished,Bachelors/Family,3,Contact Owner
2022-04-29,2,20000,810,3 out of 3,Super Area,Vikaspuri,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,18000,90,3 out of 4,Super Area,Mahaveer Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-29,1,25000,800,4 out of 5,Super Area,Mukherjee Nagar,Delhi,Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,1,13000,700,1 out of 3,Carpet Area,Panjagutta Colony,Hyderabad,Unfurnished,Bachelors,1,Contact Owner
2022-04-29,1,15000,225,Ground out of 4,Carpet Area,Shrikrupa Society,Mumbai,Unfurnished,Bachelors,1,Contact Owner
2022-04-29,4,110000,3250,12 out of 17,Carpet Area,Madhapur,Hyderabad,Semi-Furnished,Bachelors/Family,5,Contact Owner
2022-04-29,2,15000,1000,1 out of 4,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,15000,900,1 out of 3,Carpet Area,"Venkatpura, HSR Layout",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,2,11000,1100,Ground out of 2,Super Area,Konanakunte,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,1,9000,500,3 out of 4,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,1,7700,600,1 out of 2,Carpet Area,Sir M V Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,2,13000,1000,Ground out of 3,Super Area,"Jayanti Nagar, Hormavu",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,12000,750,1 out of 3,Super Area,"Electronics City Phase 1, Electronic City",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-29,4,42500,1760,1 out of 4,Carpet Area,Sun City Layout,Bangalore,Unfurnished,Bachelors/Family,3,Contact Owner
2022-04-29,3,25000,900,Ground out of 1,Super Area,Kalyan Nagar,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-04-29,2,12000,600,Ground out of 2,Super Area,Vijay Enclave,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,1,25000,596,1 out of 7,Super Area,Kandivali West,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,1,21000,650,6 out of 10,Super Area,Bhandup West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,1,27000,550,4 out of 15,Super Area,"Raj Hill, Borivali East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,1,10000,750,2 out of 5,Super Area,whitefield,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,1,15000,375,13 out of 16,Super Area,Kanjurmarg East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,2,12000,1400,2 out of 4,Super Area,Kothanur,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,23000,1066,3 out of 4,Super Area,Manayata Tech Park,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-29,1,20000,800,3 out of 4,Super Area,in Byculla,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-29,1,10000,225,7 out of 8,Super Area,Kanjurmarg East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,1,18500,229,5 out of 9,Super Area,Vile Parle,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,1,13000,700,1 out of 2,Carpet Area,"Mythri Nagar, Hafeezpet, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,40000,710,3 out of 4,Carpet Area,Anushakti Nagar,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-29,1,28000,525,2 out of 8,Super Area,"Balkrishna, Goregaon East",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,1,26000,649,3 out of 3,Super Area,"Uttam Society, Chembur",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,2,25000,1350,12 out of 13,Super Area,Doddaballapur Road,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,16000,1200,2 out of 4,Super Area,Hulimavu,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,18000,1250,1 out of 4,Super Area,"Devarachikannahalli, Begur Road",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,18000,850,3 out of 4,Super Area,Padmanabha Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,11000,600,2 out of 3,Carpet Area,Aya Nagar,Delhi,Semi-Furnished,Bachelors,2,Contact Owner
2022-04-29,1,13000,350,1 out of 5,Super Area,Rohini Sector 3,Delhi,Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,1,12000,520,3 out of 4,Carpet Area,Geeta Colony,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,1,11000,650,18 out of 19,Super Area,Mira Road,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,1,7000,400,4 out of 4,Carpet Area,Aya Nagar,Delhi,Semi-Furnished,Bachelors,1,Contact Owner
2022-04-29,2,65000,935,2 out of 7,Super Area,Andheri West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,1,25000,400,Upper Basement out of 7,Carpet Area,shanti kutir tunga village powai,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,1,33000,640,11 out of 23,Super Area,Bhandup West,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,7000,600,Ground out of 1,Super Area,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,40000,700,3 out of 6,Super Area,Andheri West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,1,7500,460,3 out of 4,Super Area,Singahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,1,8500,600,3 out of 5,Super Area,Sahakara Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,2,25000,1305,1 out of 8,Super Area,Jakkur,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,50000,950,4 out of 8,Super Area,Ghatkopar East,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,20000,300,1 out of 3,Super Area,Nagarathpete,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,3,100000,1740,21 out of 22,Super Area,Powai,Mumbai,Furnished,Bachelors/Family,4,Contact Owner
2022-04-29,4,18000,1200,1 out of 2,Super Area,Bagbazar,Kolkata,Unfurnished,Family,2,Contact Owner
2022-04-29,2,16000,1150,3 out of 5,Super Area,Nri Layout,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,7500,1100,Ground out of 3,Super Area,"Vinayak Nagar, Kattigenahalli",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,3,40000,1200,2 out of 4,Super Area,Kandivali West,Mumbai,Semi-Furnished,Family,2,Contact Owner
2022-04-29,2,50000,1200,2 out of 4,Super Area,Andheri East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,50000,750,Ground out of 5,Super Area,D.N. Nagar,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-30,2,8000,650,2 out of 3,Super Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-30,2,12000,800,1 out of 3,Super Area,Ambattur,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-30,2,12500,1100,2 out of 5,Super Area,"Vanasthalipuram, NH 9",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2022-04-30,3,28000,1720,4 out of 10,Super Area,"Narsingi, Outer Ring Road",Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-04-30,2,17500,1400,4 out of 6,Super Area,"Miyapur, NH 9",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2022-04-30,2,9000,700,1 out of 4,Carpet Area,"Tambaram West, Tambaram, Chennai Bypass Road",Chennai,Semi-Furnished,Bachelors,2,Contact Owner
2022-04-30,2,8000,800,Lower Basement out of 3,Carpet Area,"Kamakshiamman Nagar Layout, Iyyappanthangal",Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-30,1,6000,500,1 out of 3,Super Area,"Hayathnagar, NH 9",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-30,2,18000,1248,4 out of 5,Carpet Area,Kothapet,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-30,1,5000,800,1 out of 2,Super Area,"Tondiarpet, Ennore High Road",Chennai,Unfurnished,Family,1,Contact Owner
2022-04-30,1,10000,1300,Ground out of 1,Carpet Area,Khanapur,Hyderabad,Furnished,Bachelors/Family,1,Contact Owner
2022-04-30,1,7000,950,1 out of 5,Super Area,Kothapet,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-30,2,12000,900,1 out of 2,Super Area,Keelkattalai,Chennai,Furnished,Bachelors/Family,2,Contact Owner
2022-04-30,1,9000,600,2 out of 2,Super Area,Secretariat Hills,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-30,2,8500,450,1 out of 2,Carpet Area,"Suriyammapet, Saidapet",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-30,4,25000,1000,15 out of 20,Super Area,"Narsingi, Outer Ring Road",Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-04-30,1,4000,300,3 out of 3,Super Area,in Syed Ali Guda,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-30,2,7000,800,2 out of 3,Super Area,Chandrayanguttabalguda,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-30,2,13000,1200,3 out of 4,Super Area,Attapur,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-30,2,8000,600,1 out of 4,Super Area,Suraram,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-30,2,7000,749,2 out of 4,Super Area,Thandalam,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-30,1,7500,500,Ground out of 2,Super Area,Pallikaranai,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-30,4,16000,1000,1 out of 3,Super Area,Narayanguda,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-30,2,16000,900,2 out of 2,Carpet Area,Thirumangalam-Anna Nagar West,Chennai,Semi-Furnished,Bachelors,2,Contact Owner
2022-04-30,2,8000,600,2 out of 3,Carpet Area,Ambattur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-30,3,35000,1850,2 out of 3,Carpet Area,Thoraipakkam,Chennai,Semi-Furnished,Bachelors,3,Contact Owner
